新系统供应商编码,_month,一级分类,下单金额,占比
V1407784,2016-12,五金电气,4435.0,0.17132144654790182
V1407784,2016-12,办公,101.0,0.0039015707105610107
V1407784,2016-12,建材,1725.88,0.06666973126676275
V1407784,2016-12,暖通系统,349.38,0.01349634430550303
V1407784,2016-12,服务用品,1600.0,0.061807060761362546
V1407784,2016-12,服务类,17589.75,0.6794817168919856
V1407784,2016-12,运营电器,86.0,0.003322129515923237
V1407788,2016-03,办公,3930.0,0.2463949843260188
V1407788,2016-03,服务类,2780.0,0.174294670846395
V1407788,2016-03,消防安防,9240.0,0.5793103448275863
V1407788,2017-05,办公,300.0,0.06944444444444445
V1407788,2017-05,服务类,200.0,0.046296296296296294
V1407788,2017-05,消防安防,3820.0,0.8842592592592593
V1407788,2017-06,办公,150.0,0.01058574453069866
V1407788,2017-06,服务类,10920.0,0.7706422018348624
V1407788,2017-06,消防安防,3100.0,0.21877205363443897
V1407788,2017-10,办公,5140.0,0.05068033918359298
V1407788,2017-10,服务用品,120.0,0.0011831985801617037
V1407788,2017-10,服务类,68510.0,0.6755077893906527
V1407788,2017-10,消防安防,27650.0,0.2726286728455926
V1407804,2016-10,特色商品,2295.0,0.102310569417387
V1407804,2016-10,食品饮料,20136.7,0.897689430582613
V1407816,2016-12,服务用品,4368.0,0.3023255813953488
V1407816,2016-12,餐具厨具,10080.0,0.6976744186046512
V1407818,2016-11,工程电器,1287300.0,1.0
V1407818,2016-12,工程电器,1458390.0,1.0
V1407818,2017-06,工程电器,1761215.0,1.0
V1407818,2017-07,工程电器,4219773.0,1.0
V1407819,2016-03,建材,280106.0,1.0
V1407819,2016-09,建材,307276.0,1.0
V1407821,2017-06,服务用品,2700.0,1.0
V1407823,2016-05,五金电气,77109.0,1.0
V1407823,2017-03,五金电气,2628.0,0.1178898259465279
V1407823,2017-03,建材,19664.0,0.8821101740534721
V1407823,2017-09,五金电气,29440.0,1.0
V1407823,2017-10,五金电气,101475.5,1.0
V1407829,2017-07,办公,45140.0,1.0
V1407835,2016-11,床垫,344057.0,1.0
V1407837,2016-12,服务用品,1382949.22,1.0
V1407837,2017-12,服务用品,2060203.0,1.0
V1407852,2016-09,家具,67394.0,1.0
V1407852,2017-04,家具,977610.1308,0.9859014328947373
V1407852,2017-04,服务用品,13980.0,0.014098567105262682
V1407862,2016-03,建材,1320.0,1.0
V1408006,2016-05,服务类,38584.5,1.0
V1408047,2017-04,装饰,279689.71,1.0
V1408061,2016-03,鞋服配饰,11070.0,1.0
V1408062,2016-04,VI,88.0,0.0018418978513591784
V1408062,2016-04,印刷,43900.808,0.9188727719105889
V1408062,2016-04,服务类,3788.0,0.07928533023805191
V1408068,2016-06,服务类,5200.0,1.0
V1408069,2016-06,家具,639553.42,1.0
V1408069,2017-04,家具,1220967.3,1.0
V1408069,2017-05,家具,1579267.0,1.0
V1408069,2017-09,家具,603256.0,1.0
V1408070,2016-03,IT产品,167200.0,0.9838187702265372
V1408070,2016-03,办公,2750.0,0.016181229773462782
V1408070,2016-04,IT产品,1045400.0,1.0
V1408074,2016-05,服务类,36938.3,1.0
V1408076,2016-02,服务类,27418.3,1.0
V1408079,2016-05,食品饮料,16991.5,1.0
V1408080,2016-03,VI,270.0,0.022691935958314074
V1408080,2016-03,服务用品,10950.5,0.9203260915241417
V1408080,2016-03,服务类,138.0,0.011598100600916083
V1408080,2016-03,运营电器,540.0,0.04538387191662815
V1408084,2016-06,办公,508.1,0.06321066905526113
V1408084,2016-06,服务用品,5009.6,0.6232241048991067
V1408084,2016-06,服务类,370.5,0.04609240874822721
V1408084,2016-06,运营电器,840.0,0.10450100768828842
V1408084,2016-06,鞋服配饰,1310.0,0.16297180960911645
V1408098,2016-02,服务类,21731.0,1.0
V1408111,2016-10,服务类,61179.2,1.0
V1408120,2016-05,VI,1126.0,0.05830269766478538
V1408120,2016-05,印刷,18187.0,0.9416973023352146
V1408143,2016-03,VI,284.0,0.047043233394069905
V1408143,2016-03,印刷,5753.0,0.9529567666059301
V1408144,2016-02,食品饮料,12152.529999999999,1.0
V1408144,2016-11,食品饮料,4014.0,1.0
V1408170,2016-04,办公,640.0,0.27176220806794055
V1408170,2016-04,运营电器,1715.0,0.7282377919320594
V1408170,2017-10,办公,2705.0,0.44747725392886684
V1408170,2017-10,消防安防,1140.0,0.18858560794044665
V1408170,2017-10,运营电器,2200.0,0.3639371381306865
V1408180,2016-03,办公,2174.0,0.35183686680692666
V1408180,2016-03,特色商品,4005.0,0.6481631331930733
V1408182,2016-03,服务用品,6583.0,0.8965000680920605
V1408182,2016-03,运营电器,760.0,0.10349993190793953
V1408192,2017-03,五金电气,3061.0,0.09901774782337251
V1408192,2017-03,办公,874.0,0.028272300423922765
V1408192,2017-03,服务用品,11536.65,0.37318951337030726
V1408192,2017-03,服务类,14622.0,0.4729949391288314
V1408192,2017-03,消防安防,720.0,0.023290682271423786
V1408192,2017-03,运营电器,100.0,0.003234816982142193
V1408192,2017-11,五金电气,2966.0,0.20094673962898701
V1408192,2017-11,办公,1008.0,0.06829208143830712
V1408192,2017-11,建材,664.0,0.044986053645868974
V1408192,2017-11,服务用品,5672.8,0.38433265831669505
V1408192,2017-11,服务类,3909.33,0.26485742334247736
V1408192,2017-11,消防安防,130.0,0.008807510502956275
V1408192,2017-11,运营电器,70.0,0.004742505655437994
V1408192,2017-11,门锁系统,180.0,0.012195014542554842
V1408192,2017-11,鞋服配饰,160.0,0.010840012926715416
V1408202,2016-02,服务类,26500.0,1.0
V1408202,2016-07,服务类,36735.0,1.0
V1408202,2016-12,服务类,75798.4,1.0
V1408221,2017-08,VI,920.0,0.13509544787077826
V1408221,2017-08,印刷,5890.0,0.8649045521292217
V1408231,2016-03,VI,3518.0,0.2654994151164107
V1408231,2016-03,印刷,9732.5,0.7345005848835893
V1408231,2017-05,VI,510.0,0.06069260978222064
V1408231,2017-05,印刷,7893.0,0.9393073902177793
V1408235,2016-03,印刷,5200.0,1.0
V1408237,2016-03,特色商品,864.0,0.044559051057246
V1408237,2016-03,食品饮料,18526.0,0.955440948942754
V1408260,2016-07,VI,7687.0,0.3535878564857406
V1408260,2016-07,印刷,13903.0,0.6395124195032199
V1408260,2016-07,服务类,150.0,0.0068997240110395585
V1408337,2016-05,服务用品,1930.0,1.0
V1408347,2017-10,VI,2425.0,0.13915987604728566
V1408347,2017-10,办公,42.5,0.0024388844255709857
V1408347,2017-10,印刷,14892.5,0.8546137954780213
V1408347,2017-10,服务类,66.0,0.0037874440491220017
V1408354,2016-03,VI,205.0,0.001789416569892691
V1408354,2016-03,五金电气,8281.0,0.07228370056234816
V1408354,2016-03,办公,6063.03,0.052923348028080394
V1408354,2016-03,工程电器,1951.6,0.017035245745378416
V1408354,2016-03,建材,312.0,0.00272340473076351
V1408354,2016-03,服务用品,19125.62,0.1669448845730295
V1408354,2016-03,服务类,18487.44,0.16137429985803378
V1408354,2016-03,消防安防,1572.0,0.013721769989616148
V1408354,2016-03,特色商品,3407.872,0.029746842072552897
V1408354,2016-03,运营电器,3355.04,0.029285678871476945
V1408354,2016-03,门锁系统,364.0,0.003177305519224095
V1408354,2016-03,鞋服配饰,3472.0,0.030306606491060598
V1408354,2016-03,食品饮料,47100.878,0.41113703194972734
V1408354,2016-03,餐具厨具,865.0,0.0075504650388155
V1408354,2016-12,服务用品,754.0,0.6221122112211221
V1408354,2016-12,鞋服配饰,458.0,0.3778877887788779
V1408382,2016-09,五金电气,115.0,0.018593371059013743
V1408382,2016-09,办公,285.0,0.046079223928860144
V1408382,2016-09,印刷,163.0,0.02635408245755861
V1408382,2016-09,服务用品,1780.0,0.2877930476960388
V1408382,2016-09,服务类,720.0,0.116410670978173
V1408382,2016-09,消防安防,1520.0,0.24575586095392077
V1408382,2016-09,运营电器,750.0,0.12126111560226355
V1408382,2016-09,鞋服配饰,852.0,0.13775262732417137
V1408382,2016-10,五金电气,2215.0,0.22432651407737492
V1408382,2016-10,办公,629.0,0.06370265343325907
V1408382,2016-10,暖通系统,65.0,0.006582945108365404
V1408382,2016-10,服务用品,3390.0,0.3433259064209034
V1408382,2016-10,服务类,2784.0,0.2819526027952198
V1408382,2016-10,鞋服配饰,506.0,0.05124569576665992
V1408382,2016-10,餐具厨具,285.0,0.02886368239821754
V1408382,2016-11,五金电气,4040.0,0.2070403985015195
V1408382,2016-11,办公,1190.0,0.06098467183584362
V1408382,2016-11,印刷,312.0,0.01598925849813715
V1408382,2016-11,建材,270.0,0.01383685831569561
V1408382,2016-11,服务用品,4300.0,0.22036478058330047
V1408382,2016-11,服务类,3201.1,0.16404876723841932
V1408382,2016-11,消防安防,1563.0,0.08010003536086015
V1408382,2016-11,运营电器,1480.0,0.07584648261936854
V1408382,2016-11,鞋服配饰,2361.0,0.1209956388272494
V1408382,2016-11,餐具厨具,796.0,0.04079310821960632
V1408382,2016-12,VI,13.0,0.0003480672894393707
V1408382,2016-12,五金电气,6534.0,0.17494397455360372
V1408382,2016-12,办公,8616.3,0.2306963219997269
V1408382,2016-12,印刷,148.0,0.003962612218232835
V1408382,2016-12,家具,1340.0,0.035877705219135136
V1408382,2016-12,工程电器,1500.0,0.04016161031992739
V1408382,2016-12,建材,1205.0,0.032263160290341666
V1408382,2016-12,暖通系统,298.0,0.007978773250225574
V1408382,2016-12,服务用品,4061.6,0.10874693098361139
V1408382,2016-12,服务类,5540.2,0.14833556899630782
V1408382,2016-12,消防安防,1032.0,0.027631187900110044
V1408382,2016-12,运营电器,1075.0,0.02878248739594796
V1408382,2016-12,鞋服配饰,4990.0,0.13360429033095844
V1408382,2016-12,餐具厨具,996.0,0.026667309252431787
V1408382,2017-07,五金电气,4612.5,0.14373860608610292
V1408382,2017-07,办公,449.0,0.013992115801118745
V1408382,2017-07,家具,21380.0,0.6662615497281043
V1408382,2017-07,建材,150.0,0.004674426214182209
V1408382,2017-07,服务用品,2549.0,0.07943408279966968
V1408382,2017-07,服务类,1493.0,0.046526122251826924
V1408382,2017-07,装饰,350.0,0.010906994499758488
