EmployeeID,Vendor,start,end,count
152035033,北京XXXX公司,2016-11-07,2016-11-08,18
152047393,广铁XXXX集团,2016-12-14,2016-12-15,18
200000127,神州XXXX专车,2016-11-11,2016-11-13,18
200000496,重庆XXXX公司,2016-10-28,2016-10-29,17
200000496,重庆XXXX公司,2016-11-12,2016-11-12,17
152011289,北京XXXX租车,2016-11-27,2016-12-03,17
200000127,神州XXXX专车,2016-11-11,2016-11-13,17
152023287,中国XXXX铁路,2017-04-07,2017-04-08,17
200001644,广州XXXX租车,2016-12-03,2016-12-10,17
200000127,中国XXXX铁路,2017-02-26,2017-03-04,17
152030074,广州XXXX的士,2016-12-03,2016-12-10,17
152014163,北京XXXX租车,2017-02-26,2017-02-26,17
152034703,中国XXXX道部,2017-03-24,2017-03-26,17
200001300,北京XXXX汽车,2016-11-26,2016-12-03,17
152022202,中国XXXX铁路,2016-12-17,2016-12-19,17
152014163,北京XXXX租车,2017-03-29,2017-03-29,17
152025446,中国XXXX铁路,2016-12-09,2016-12-16,17
152020627,铁路XXXX铁路,2016-11-11,2016-11-13,17
200002343,出租XXXX租车,2016-12-07,2016-12-10,17
152020616,中国XXXX铁路,2017-04-24,2017-04-25,17
152039501,神州XXXX建）,2017-03-09,2017-03-09,17
152009005,出租XXXX租车,2016-11-06,2016-11-12,17
200001993,中国XXXX铁路,2017-02-24,2017-02-26,17
152024864,出租XXXX租车,2016-12-03,2016-12-10,17
152013454,中国XXXX铁路,2016-12-17,2016-12-18,17
152007312,神州XXXX信息,2017-04-28,2017-04-29,17
152011289,北京XXXX租车,2016-11-19,2016-11-26,17
152022271,北汽XXXX集团,2016-12-07,2016-12-10,17
152023226,出租XXXX租车,2017-03-25,2017-03-26,17
152021252,中国XXXX道路,2016-10-21,2016-10-23,17
152018710,中国XXXX铁路,2016-10-19,2016-10-22,17
200000903,北京XXXX公司,2017-03-20,2017-03-27,17
200001356,中国XXXX铁路,2016-11-17,2016-11-19,17
152024864,火车XXXX车票,2016-12-02,2016-12-08,17
152052857,中国XXXX铁路,2017-04-08,2017-04-09,17
152027083,神州XXXX建）,2017-02-17,2017-02-19,17
152021006,北京XXXX公司,2016-10-29,2016-10-29,17
200001300,北京XXXX汽车,2016-12-03,2016-12-04,17
152023562,中国XXXX铁路,2016-11-19,2016-11-25,17
152018014,泉州XXXX公司,2016-11-25,2016-11-27,17
152032536,中国XXXX公司,2016-12-02,2016-12-03,17
152047393,广铁XXXX集团,2016-12-14,2016-12-15,17
200000769,高铁XXXX公司,2016-10-21,2016-10-28,17
152035033,北京XXXX公司,2016-11-07,2016-11-08,17
152030074,广州XXXX的士,2016-12-18,2016-12-18,17
152030074,广州XXXX的士,2016-12-02,2016-12-04,17
152008057,中国XXXX铁路,2016-10-23,2016-10-23,17
200002343,铁道XXXX道部,2016-12-07,2016-12-10,17
85455148,中国XXXX总局,2017-03-18,2017-03-19,17
152028678,中国XXXX高铁,2016-11-18,2016-11-21,17
200001639,广州XXXX公司,2016-11-01,2016-11-06,17
152017444,中国XXXX高铁,2016-12-17,2016-12-18,17
200001639,广州XXXX公司,2016-11-05,2016-11-12,17
152023287,中国XXXX铁路,2017-04-07,2017-04-08,16
152007312,神州XXXX信息,2017-04-28,2017-04-29,16
200000496,重庆XXXX公司,2016-10-28,2016-10-29,16
200001639,广州XXXX公司,2016-11-02,2016-11-06,16
152028678,中国XXXX高铁,2016-11-18,2016-11-21,16
200001639,广州XXXX公司,2016-11-05,2016-11-12,16
200002343,铁道XXXX道部,2016-12-07,2016-12-10,16
152030074,广州XXXX的士,2016-12-02,2016-12-04,16
152020627,铁路XXXX铁路,2016-11-11,2016-11-13,16
152020081,哈铁XXXX铁路,2016-12-15,2016-12-18,16
200002343,出租XXXX租车,2016-12-07,2016-12-10,16
152032536,中国XXXX公司,2016-12-02,2016-12-03,16
152035033,北京XXXX公司,2016-11-07,2016-11-08,16
152022271,北汽XXXX集团,2016-12-07,2016-12-10,16
152024864,出租XXXX租车,2016-12-03,2016-12-10,16
200000127,神州XXXX专车,2016-11-11,2016-11-13,16
152030074,广州XXXX的士,2016-12-18,2016-12-18,16
152047393,广铁XXXX集团,2016-12-14,2016-12-15,16
152023226,出租XXXX租车,2017-03-25,2017-03-26,16
152018710,中国XXXX铁路,2016-10-19,2016-10-22,16
200001300,北京XXXX汽车,2016-12-03,2016-12-04,16
152021006,北京XXXX公司,2016-10-29,2016-10-29,16
200002232,中国XXXX路局,2016-11-18,2016-11-23,16
152014163,北京XXXX租车,2017-02-26,2017-02-26,16
152052857,中国XXXX铁路,2017-04-08,2017-04-09,16
152014163,北京XXXX租车,2017-03-29,2017-03-29,16
152022202,中国XXXX铁路,2016-12-17,2016-12-19,16
152022269,中国XXXX铁路,2016-12-16,2016-12-20,16
152027083,神州XXXX建）,2017-02-17,2017-02-19,16
152021252,中国XXXX道路,2016-10-21,2016-10-23,16
200001356,中国XXXX铁路,2016-11-17,2016-11-19,16
200000903,北京XXXX公司,2017-03-20,2017-03-27,16
200000769,高铁XXXX公司,2016-10-21,2016-10-28,16
152018014,泉州XXXX公司,2016-11-25,2016-11-27,16
152023562,中国XXXX铁路,2016-11-19,2016-11-25,16
200000127,中国XXXX铁路,2017-03-03,2017-03-04,16
152030074,广州XXXX的士,2016-12-03,2016-12-10,16
200001644,广州XXXX租车,2016-12-03,2016-12-10,16
152020616,中国XXXX铁路,2017-04-24,2017-04-25,16
152025446,中国XXXX铁路,2016-12-09,2016-12-16,16
200000496,重庆XXXX公司,2016-11-12,2016-11-12,16
152034703,中国XXXX道部,2017-03-24,2017-03-26,16
